RID,,Rxn description,Formula,LB,UB,subSystem,Gene Rule,Bibliomic - Intracellular,Biblomic - Exchange,Proteomic,OMIM disease,Drug target,Confidence Score,Reference ID,,,,,,,,,,,,,,,,,,,,,,,,,,
17,EX_ascb_L_e,L-Ascorbate exchange,ascb_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,334,,,,,,,,,,,,,,,,,,,,,,,,,,1
18,EX_asn_L_e,L-Asparagine exchange,asn_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,335,,,,,,,,,,,,,,,,,,,,,,,,,,1
19,EX_asp_L_e,L-Aspartate exchange,asp_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,336,,,,,,,,,,,,,,,,,,,,,,,,,,1
20,EX_bilirub_e,Bilirubin exchange,bilirub[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
21,EX_ca2_e,Calcium exchange,ca2[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,337,,,,,,,,,,,,,,,,,,,,,,,,,,1
22,EX_chol_e,Choline exchange,chol[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,338,,,,,,,,,,,,,,,,,,,,,,,,,,1
23,EX_cit_e,Citrate exchange,cit[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,339,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,EX_co_e,Carbon monoxide exchange,co[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
25,EX_co2_e,CO2 exchange,co2[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,262,325,363,,,,,,,,,,,,,,,,,,,,,,,,1
26,EX_creat_e,Creatine exchange,creat[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,340,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,EX_cyan_e,Hydrogen cyanide exchange,cyan[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
28,EX_cys_L_e,L-Cysteine exchange,cys_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,342,,,,,,,,,,,,,,,,,,,,,,,,,,1
29,EX_cytd_e,Cytidine exchange,cytd[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,341,,,,,,,,,,,,,,,,,,,,,,,,,,1
30,EX_dhdascb_e,Dehydroascorbate exchange,dhdascb[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
31,EX_dopa_e,Dopamine exchange,dopa[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,343,,,,,,,,,,,,,,,,,,,,,,,,,,1
32,EX_dopasf_e,Dopamine 3-O-sulfate exchange,dopasf[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
33,EX_fe2_e,Fe2+ exchange,fe2[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
34,EX_fru_e,D-Fructose exchange,fru[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,344,,,,,,,,,,,,,,,,,,,,,,,,,,1
35,EX_gal_e,D-Galactose exchange,gal[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,345,,,,,,,,,,,,,,,,,,,,,,,,,,1
36,EX_gdp_e,GDP exchange,gdp[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,346,,,,,,,,,,,,,,,,,,,,,,,,,,1
37,EX_glc_e,D-Glucose exchange,glc_D[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,347,,,,,,,,,,,,,,,,,,,,,,,,,,1
38,EX_gln_L_e,L-Glutamine exchange,gln_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,348,,,,,,,,,,,,,,,,,,,,,,,,,,1
39,EX_glu_L_e,L-Glutamate exchange,glu_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,349,,,,,,,,,,,,,,,,,,,,,,,,,,1
40,EX_gly_e,Glycine exchange,gly[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,350,,,,,,,,,,,,,,,,,,,,,,,,,,1
41,EX_glyb_e,Glycine betaine exchange,glyb[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,391,,,,,,,,,,,,,,,,,,,,,,,,,,1
42,EX_gthox_e,Oxidized glutathione exchange,gthox[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,2,351,,,,,,,,,,,,,,,,,,,,,,,,,,1
43,EX_gthrd_e,Reduced glutathione exchange,gthrd[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
44,EX_h_e,H+ exchange,h[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
45,EX_h2o_e,H2O exchange,h2o[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
46,EX_h2o2_e,Hydrogen peroxide exchange,h2o2[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
47,EX_hco3_e,Bicarbonate exchange,hco3[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,352,,,,,,,,,,,,,,,,,,,,,,,,,,1
48,EX_hdca_e,Hexadecanoate (n-C16:0) exchange,hdca[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,353,,,,,,,,,,,,,,,,,,,,,,,,,,1
49,EX_his_L_e,L-Histidine exchange,his_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,354,,,,,,,,,,,,,,,,,,,,,,,,,,1
50,EX_hista_e,Histamine exchange,hista[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,355,,,,,,,,,,,,,,,,,,,,,,,,,,1
51,EX_hxan_e,Hypoxanthine exchange,hxan[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,356,,,,,,,,,,,,,,,,,,,,,,,,,,1
52,EX_ile_L_e,L-Isoleucine exchange,ile_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,357,,,,,,,,,,,,,,,,,,,,,,,,,,1
53,EX_inost_e,myo-Inositol exchange,inost[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,358,,,,,,,,,,,,,,,,,,,,,,,,,,1
54,EX_ins_e,Inosine exchange,ins[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,359,,,,,,,,,,,,,,,,,,,,,,,,,,1
55,EX_lac_L_e,L-Lactate exchange,lac_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,360,,,,,,,,,,,,,,,,,,,,,,,,,,1
56,EX_leuktrF4_e,leukotriene F4 exchange,leuktrF4[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
57,EX_lnlc_e,linoleic acid (all cis C18:2) exchange,lnlc[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,361,,,,,,,,,,,,,,,,,,,,,,,,,,1
58,EX_lys_L_e,L-Lysine exchange,lys_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,357,,,,,,,,,,,,,,,,,,,,,,,,,,1
59,EX_met_L_e,L-Methionine exchange,met_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,362,,,,,,,,,,,,,,,,,,,,,,,,,,1
60,EX_na1_e,Sodium exchange,na1[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,136,338,,,,,,,,,,,,,,,,,,,,,,,,,1
61,EX_nad_e,Nicotinamide adenine dinucleotide exchange,nad[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
62,EX_ncam_e,Nicotinamide exchange,ncam[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,390,,,,,,,,,,,,,,,,,,,,,,,,,,1
63,EX_nh4_e,Ammonia exchange,nh4[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,363,,,,,,,,,,,,,,,,,,,,,,,,,,1
64,EX_no_e,Nitric oxide exchange,no[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,364,,,,,,,,,,,,,,,,,,,,,,,,,,1
65,EX_nrpphrsf_e,Sulfate derivative of norepinephrine exchange,nrpphrsf[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
66,EX_o2_e,O2 exchange,o2[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,365,,,,,,,,,,,,,,,,,,,,,,,,,,1
67,EX_o2s_e,Superoxide anion exchange,o2s[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,366,,,,,,,,,,,,,,,,,,,,,,,,,,1
68,EX_ocdca_e,octadecanoate (n-C18:0) exchange,ocdca[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,367,,,,,,,,,,,,,,,,,,,,,,,,,,1
69,EX_ocdcea_e,octadecenoate (n-C18:1) exchange,ocdcea[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,367,,,,,,,,,,,,,,,,,,,,,,,,,,1
70,EX_orn_e,Ornithine exchange,orn[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,389,,,,,,,,,,,,,,,,,,,,,,,,,,1
71,EX_phe_L_e,L-Phenylalanine exchange,phe_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,368,,,,,,,,,,,,,,,,,,,,,,,,,,1
72,EX_pheacgln_e,alpha-N-Phenylacetyl-L-glutamine exchange,pheacgln[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
73,EX_pheme_e,Protoheme exchange,pheme[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,369,,,,,,,,,,,,,,,,,,,,,,,,,,1
74,EX_pi_e,Phosphate exchange,pi[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,388,,,,,,,,,,,,,,,,,,,,,,,,,,1
75,EX_pro_L_e,L-Proline exchange,pro_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,370,,,,,,,,,,,,,,,,,,,,,,,,,,1
76,EX_prostgd2_e,Prostaglandin D2 exchange,prostgd2[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,371,,,,,,,,,,,,,,,,,,,,,,,,,,1
77,EX_pyr_e,Pyruvate exchange,pyr[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,372,,,,,,,,,,,,,,,,,,,,,,,,,,1
78,EX_ser_L_e,L-Serine exchange,ser_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,370,,,,,,,,,,,,,,,,,,,,,,,,,,1
79,EX_so4_e,Sulfate exchange,so4[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,387,,,,,,,,,,,,,,,,,,,,,,,,,,1
80,EX_spc_hs_e,sphingosylphosphorylcholine (homo sapiens) exchange,spc_hs[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
81,EX_sphs1p_e,Sphingosine 1-phosphate exchange,sphs1p[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,373,,,,,,,,,,,,,,,,,,,,,,,,,,1
82,EX_srtn_e,Serotonin exchange,srtn[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,338,355,,,,,,,,,,,,,,,,,,,,,,,,,1
83,EX_succ_e,Succinate exchange,succ[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,374,,,,,,,,,,,,,,,,,,,,,,,,,,1
84,EX_tcynt_e,Thiocyanate exchange,tcynt[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
85,EX_thym_e,Thymine exchange,thym[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
86,EX_thymd_e,Thymidine exchange,thymd[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,375,,,,,,,,,,,,,,,,,,,,,,,,,,1
87,EX_trp_L_e,L-Tryptophan exchange,trp_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,376,,,,,,,,,,,,,,,,,,,,,,,,,,1
88,EX_tsul_e,Thiosulfate exchange,tsul[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
89,EX_txa2_e,Thromboxane A2 exchange,txa2[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,226,233,234,265,267,,,,,,,,1,,,,,,,,,,,,,,
90,EX_tymsf_e,Tyramine O-sulfate exchange,tymsf[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
91,EX_tyr_L_e,L-Tyrosine exchange,tyr_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,377,,,,,,,,,,,,,,,,,,,,,,,,,,1
92,EX_ura_e,Uracil exchange,ura[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,378,,,,,,,,,,,,,,,,,,,,,,,,,,1
93,EX_urate_e,Urate exchange,urate[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,379,,,,,,,,,,,,,,,,,,,,,,,,,,1
94,EX_urea_e,Urea exchange,urea[e]  <=> ,-1000,1000,Extracellular exchange,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
95,EX_uri_e,Uridine exchange,uri[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,380,,,,,,,,,,,,,,,,,,,,,,,,,,1
96,EX_val_L_e,L-Valine exchange,val_L[e]  <=> ,-1000,1000,Extracellular exchange,,0,1,0,0,0,3,381,,,,,,,,,,,,,,,,,,,,,,,,,,1
97,sink_12harachd_c,sink 12harachd(c),12harachd[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
98,sink_15HPET_c,sink 15HPET(c),15HPET[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
99,sink_4mop,sink 4mop,4mop[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
100,sink_5moxact_c,sink 5moxact(c),5moxact[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
101,EX_ca2_c_ca2_e,Calcium import-export(c),ca2[c]  <=> ca2[e] ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
102,sink_homoval_c,sink homoval(c),homoval[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
103,sink_ind3ac_c,sink ind3ac(c),ind3ac[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
104,sink_mal_c,sink mal(c),mal_L[c]  <=> ,-1000,1000,Intracellular Constraint,,0,1,0,0,0,3,374,,,,,,,,,,,,,,,,,,,,,,,,,,1
105,sink_na1,sink for intracellular Sodium,na1[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1
106,sink_txb_c,sink txb(c),txb2[c]  <=> ,-1000,1000,Intracellular Constraint,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
107,10FTHF6GLUtm,"6-glutamyl-10FTHF transport, mitochondrial",10fthf6glu[m]  -> 10fthf6glu[c] ,0,1000,"Transport, Mitochondrial",,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
108,10FTHF7GLUtl,"7-glutamyl-10FTHF transport, lysosomal",10fthf7glu[c]  -> 10fthf7glu[l] ,0,1000,"Transport, Lysosomal",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
109,10FTHF7GLUtm,"7-glutamyl-10FTHF transport, mitochondrial",10fthf7glu[m]  -> 10fthf7glu[c] ,0,1000,"Transport, Mitochondrial",,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1
110,10FTHFtl,10-Formyltetrahydrofolate lysosomal transport via diffusion,10fthf[c]  <=> 10fthf[l] ,-1000,1000,"Transport, Lysosomal",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
111,2AMADPTm,L-2-aminoadipate shuttle (cytosol/mitochondria),L2aadp[c] + akg[m]  <=> L2aadp[m] + akg[c] ,-1000,1000,Lysine Metabolism,89874,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
112,2DR1PP,2-deoxy-D-ribose 1-phosphate phosphorylase,h2o[c] + 2dr1p[c]  -> drib[c] + pi[c] ,0,1000,Pyrimidine Catabolism,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
113,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),coa[m] + nad[m] + 2oxoadp[m]  -> nadh[m] + co2[m] + glutcoa[m] ,0,1000,Lysine Metabolism,(1738 and 8050) and 1743 and 4967,0,0,1,1,0,4,24,1,3,21,8,29,,,,,,,,,,,,,,,,,,,,,1
114,2OXOADPTm,2-oxoadipate shuttle (cytosol/mitochondria),akg[m] + 2oxoadp[c]  <=> akg[c] + 2oxoadp[m] ,-1000,1000,Tryptophan metabolism,89874,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
115,34DHPHAMT,"3,4-Dihydroxyphenylacetate:amet O-methyltransferase",amet[c] + 34dhpha[c]  -> homoval[c] + h[c] + ahcys[c] ,0,1000,Tyrosine metabolism,1312,0,0,1,1,1,4,24,21,,,,,,,,,,,,,,,,,,,,,,,,,1
116,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",h2o[c] + nad[c] + 34dhpac[c]  -> nadh[c] + 34dhpha[c] + 2 h[c] ,0,1000,Tyrosine metabolism,218 or 220 or 221 or 222,1,0,0,1,0,5,147,,,,,,,,,,,,,,,,,,,,,,,,,,1
117,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,34hpp[c] + o2[c]  -> hgentis[c] + co2[c] ,0,1000,Tyrosine metabolism,3242,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
118,3HBCOAHLm,"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial",h2o[m] + 3hibutcoa[m]  -> coa[m] + 3hmp[m] + h[m] ,0,1000,"Valine, Leucine, and Isoleucine Metabolism",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
119,3HLYTCL,3-Hydroxy-L-tyrosine carboxy-lyase,34dhphe[c] + h[c]  -> dopa[c] + co2[c] ,0,1000,Tyrosine metabolism,1644,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
120,3M4HDXPAC,3-Methoxy-4-hydroxyphenylacetaldehyde:NAD+ oxidoreductase,3mox4hpac[c] + h2o[c] + nad[c]  <=> homoval[c] + nadh[c] + 2 h[c] ,-1000,1000,Tyrosine metabolism,218 or 220 or 221 or 222,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
121,3MOBt2im,3-methyl-2-oxobutanoate mitochondrial transport via proton symport,3mob[c] + h[c]  -> 3mob[m] + h[m] ,0,1000,"Transport, Mitochondrial",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
122,3MOPt2im,3-Methyl-2-oxopentanoate mitochondrial transport via proton symport,3mop[c] + h[c]  -> h[m] + 3mop[m] ,0,1000,"Transport, Mitochondrial",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
123,3MOXTYROX,3-Methoxytyramine:oxygen oxidoreductase (deaminating),o2[c] + h2o[c] + 3moxtyr[c]  -> 3mox4hpac[c] + h2o2[c] + nh4[c] ,0,1000,Tyrosine metabolism,4128 or 4129,0,0,1,1,1,4,23,24,29,21,,,,,,,,,,,,,,,,,,,,,,,1
124,42A12BOOX,"4-(2-Aminoethyl)-1,2-benzenediol:oxygen oxidoreductase(deaminating)(flavin-containing)",o2[c] + h2o[c] + dopa[c]  -> h2o2[c] + nh4[c] + 34dhpac[c] ,0,1000,Tyrosine metabolism,4128 or 4129,1,0,1,1,1,5,38,41,92,93,98,23,24,29,21,,,,,,,,,,,,,,,,,,1
125,4ABUTtm,4-aminobutanoate mitochondrial transport via diffusion,4abut[c]  <=> 4abut[m] ,-1000,1000,"Transport, Mitochondrial",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
126,4HOXPACDOX_NADP,4-Hydroxyphenylacetaldehyde:NADP+ oxidoreductase,h2o[c] + nadp[c] + 4hoxpacd[c]  <=> 4hphac[c] + 2 h[c] + nadph[c] ,-1000,1000,Tyrosine metabolism,218 or 220 or 221 or 222,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
127,4MOPt2im,4-methyl-2-oxopentanoate mitochondrial transport  via proton symport,4mop[c] + h[c]  -> 4mop[m] + h[m] ,0,1000,"Transport, Mitochondrial",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
128,4NPHSFte,xenobiotic transport,4nphsf[e]  <=> 4nphsf[c] ,-1000,1000,"Transport, Extracellular",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
129,4NPHSULT,4-Nitrophenol Sulfotransferase,paps[c] + 4nph[c]  -> pap[c] + 4nphsf[c] + h[c] ,0,1000,CYP Metabolism,6817 or 6799,1,0,1,0,0,5,162,164,165,166,10,9,2,1,24,,,,,,,,,,,,,,,,,,1
130,4NPHte,xenobiotic transport,4nph[e]  <=> 4nph[c] ,-1000,1000,"Transport, Extracellular",,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
131,5AOPtm,5-Aminolevulinate mitochondrial transport,5aop[c]  <=> 5aop[m] ,-1000,1000,Heme Biosynthesis,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
132,5HLTDL,5-Hydroxy-L-tryptophan decarboxy-lyase,5htrp[c] + h[c]  -> srtn[c] + co2[c] ,0,1000,Tryptophan metabolism,1644,0,0,0,1,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1
133,5HOXINDACTOX,5-Hydroxyindoleacetaldehyde:NAD+ oxidoreductase,5hoxindact[c] + h2o[c] + nad[c]  -> nadh[c] + 2 h[c] + 5hoxindoa[c] ,0,1000,Tryptophan metabolism,224 or 216 or 223,1,0,1,1,0,5,147,23,16,21,22,,,,,,,,,,,,,,,,,,,,,,1
134,5HOXINOXDA,5-Hydroxytryptamine:oxygen oxidoreductase(deaminating)(flavin-containing),o2[c] + h2o[c] + srtn[c]  -> 5hoxindact[c] + h2o2[c] + nh4[c] ,0,1000,Tryptophan metabolism,4128 or 4129,1,0,1,1,1,5,147,23,24,29,21,,,,,,,,,,,,,,,,,,,,,,1
135,5MTHFt,5-Methyltetrahydrofolate transport via receptor binding and protolysis,5mthf[e]  <=> 5mthf[c] ,-1000,1000,"Transport, Extracellular",2348,0,0,1,1,0,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,1
