----Intracellular Constraint----
PYRt2rreverse,pyr_c+h_c--> pyr_e+h_e,635.7081807081806
SO4CLtex2reverse,2.0*so4_c+cl_e--> 2.0*so4_e+cl_c,626.1046469869999
SO4HCOtex,so4_e+2.0*hco3_c--> so4_c+2.0*hco3_e,464.1068735186382
SO4t4_3,3.0*na1_e+so4_e--> 3.0*na1_c+so4_c,788.1024204553615
SUCCt4_3reverse,3.0*na1_c+succ_c--> 3.0*na1_e+succ_e,1000.0
TCYNTt,tcynt_c--> tcynt_e,282.7458162752271
THYMDt1,thymd_e--> thymd_c,1000.0
THYMtreverse,thym_c--> thym_e,1000.0
URAt,ura_e--> ura_c,199.99999999999997
UREAtreverse,urea_c--> urea_e,202.335703512174
URItreverse,uri_c--> uri_e,199.99999999999997
VALtec,val_L_e--> val_L_c,1000.0
AMPtreverse,amp_c--> amp_e,900.0000000000008
H2Ot,h2o_e--> h2o_c,200.0
PIt9reverse,2.0*na1_c+pi_c--> 2.0*na1_e+pi_e,1000.0
NH4t3r,nh4_c+h_e--> nh4_e+h_c,100.0
Ht,h_e--> h_c,285.2463549522374
GLNtreverse,gln_L_c--> gln_L_e,913.0715363068301
----CYP Metabolism----
----Heme Biosynthesis----
----Propanoate Metabolism----
AACOAT,coa_c+atp_c+acac_c--> ppi_c+amp_c+aacoa_c,1000.0
AACOATreverse,ppi_c+amp_c+aacoa_c--> coa_c+atp_c+acac_c,1000.0
----Glutamate metabolism----
ALATA_Lreverse,pyr_c+glu_L_c--> ala_L_c+akg_c,433.20764203117045
CBPSam,2.0*atp_m+nh4_m+hco3_m--> cbp_m+pi_m+2.0*h_m+2.0*adp_m,219.78021978021982
GLNS,nh4_c+atp_c+glu_L_c--> gln_L_c+pi_c+h_c+adp_c,858.6270918623865
GLUDxm,h2o_m+glu_L_m+nad_m--> nadh_m+nh4_m+h_m+akg_m,1000.0
GLUDxmreverse,nadh_m+nh4_m+h_m+akg_m--> h2o_m+glu_L_m+nad_m,890.1098901098901
GLUNm,h2o_m+gln_L_m--> glu_L_m+nh4_m,109.89010989010991
GTHO,h_c+gthox_c+nadph_c--> nadp_c+2.0*gthrd_c,1000.0
GTHOm,h_m+gthox_m+nadph_m--> nadp_m+2.0*gthrd_m,439.56043956043965
----Cholesterol Metabolism----
----Fatty Acid Metabolism----
ACCOAC,atp_c+accoa_c+hco3_c--> malcoa_c+pi_c+h_c+adp_c,71.78625296272354
----Citric Acid Cycle----
ACITL,coa_c+atp_c+cit_c--> oaa_c+pi_c+accoa_c+adp_c,100.0
ACONT,cit_c--> icit_c,1000.0
AKGDm,coa_m+nad_m+akg_m--> nadh_m+succoa_m+co2_m,109.89010989011003
FUMm,h2o_m+fum_m--> mal_L_m,439.56043956043965
ICDHxm,nad_m+icit_m--> nadh_m+co2_m+akg_m,1000.0
ICDHxmreverse,nadh_m+co2_m+akg_m--> nad_m+icit_m,1000.0
ICDHy,nadp_c+icit_c--> co2_c+akg_c+nadph_c,1000.0
ICDHyrm,nadp_m+icit_m--> co2_m+akg_m+nadph_m,1000.0
ICDHyrmreverse,co2_m+akg_m+nadph_m--> nadp_m+icit_m,1000.0
MDH,mal_L_c+nad_c--> nadh_c+oaa_c+h_c,749.5381742440567
MDHreverse,nadh_c+oaa_c+h_c--> mal_L_c+nad_c,1000.0
MDHm,mal_L_m+nad_m--> nadh_m+oaa_m+h_m,1000.0
MDHmreverse,nadh_m+oaa_m+h_m--> mal_L_m+nad_m,1000.0
SUCD1mreverse,fadh2_m+fum_m--> fad_m+succ_m,560.4395604395604
SUCOASm,atp_m+coa_m+succ_m--> pi_m+succoa_m+adp_m,560.4395604395604
SUCOASmreverse,pi_m+succoa_m+adp_m--> atp_m+coa_m+succ_m,1000.0
----Glycolysis/Gluconeogenesis----
ALDD2y,h2o_c+nadp_c+acald_c--> ac_c+2.0*h_c+nadph_c,1000.0
G6PPer,h2o_r+g6p_r--> pi_r+glc_D_r,10.0
GAPD,nad_c+pi_c+g3p_c--> nadh_c+13dpg_c+h_c,1000.0
GAPDreverse,nadh_c+13dpg_c+h_c--> nad_c+pi_c+g3p_c,1000.0
LDH_L,nad_c+lac_L_c--> pyr_c+nadh_c+h_c,346.6095669036843
LDH_Lreverse,pyr_c+nadh_c+h_c--> nad_c+lac_L_c,1000.0
PGIreverse,f6p_c--> g6p_c,10.0
PGK,atp_c+3pg_c--> 13dpg_c+adp_c,1000.0
PGKreverse,13dpg_c+adp_c--> atp_c+3pg_c,1000.0
TPIreverse,g3p_c--> dhap_c,173.30478345184213
----Purine Catabolism----
ADA,adn_c+h2o_c+h_c--> ins_c+nh4_c,689.7540041657697
PUNP5,ins_c+pi_c--> hxan_c+r1p_c,689.7540041657697
----Nucleotides----
ADAe,h2o_e+adn_e+h_e--> ins_e+nh4_e,1000.0
ADK1,atp_c+amp_c--> 2.0*adp_c,368.8730876966153
ADK1reverse,2.0*adp_c--> atp_c+amp_c,1000.0
ADK1m,atp_m+amp_m--> 2.0*adp_m,1000.0
ADK1mreverse,2.0*adp_m--> atp_m+amp_m,1000.0
CYTK1,cmp_c+atp_c--> cdp_c+adp_c,1000.0
CYTK1reverse,cdp_c+adp_c--> cmp_c+atp_c,1000.0
GK1,atp_c+gmp_c--> gdp_c+adp_c,1000.0
GK1reverse,gdp_c+adp_c--> atp_c+gmp_c,1000.0
NDPK1,gdp_c+atp_c--> gtp_c+adp_c,1000.0
NDPK1reverse,gtp_c+adp_c--> gdp_c+atp_c,1000.0
NDPK1m,atp_m+gdp_m--> gtp_m+adp_m,1000.0
NDPK1mreverse,gtp_m+adp_m--> atp_m+gdp_m,1000.0
NDPK2,atp_c+udp_c--> utp_c+adp_c,1000.0
NDPK2reverse,utp_c+adp_c--> atp_c+udp_c,1000.0
NDPK3,atp_c+cdp_c--> ctp_c+adp_c,1000.0
NDPK3reverse,ctp_c+adp_c--> atp_c+cdp_c,1000.0
NTD7e,h2o_e+amp_e--> pi_e+adn_e,100.0
PUNP1reverse,r1p_c+ade_c--> adn_c+pi_c,489.7540041657698
UMPK,ump_c+atp_c--> udp_c+adp_c,1000.0
UMPKreverse,udp_c+adp_c--> ump_c+atp_c,1000.0
----Salvage Pathway----
----IMP Biosynthesis----
PRAGSr,pram_c+atp_c+gly_c--> pi_c+gar_c+h_c+adp_c,1000.0
PRAGSrreverse,pi_c+gar_c+h_c+adp_c--> pram_c+atp_c+gly_c,1000.0
PRASCS,5aizc_c+atp_c+asp_L_c--> pi_c+h_c+adp_c+25aics_c,1000.0
PRASCSreverse,pi_c+h_c+adp_c+25aics_c--> 5aizc_c+atp_c+asp_L_c,1000.0
----Methionine Metabolism----
----Glycine_ Serine_ and Threonine Metabolism----
ALR,h2o_c+nadp_c+mthgxl_c--> pyr_c+2.0*h_c+nadph_c,1000.0
----Miscellaneous----
ALCD1,nad_c+meoh_c--> fald_c+nadh_c+h_c,210.6331250448906
ALCD1reverse,fald_c+nadh_c+h_c--> nad_c+meoh_c,1000.0
H2CO3D,h2o_c+co2_c--> h2co3_c,1000.0
H2CO3D2reverse,h2co3_c--> hco3_c+h_c,1000.0
PRDX,h2o2_c+meoh_c--> fald_c+2.0*h2o_c,789.3668749551094
----Pyruvate Metabolism----
ALCD21_D,nad_c+12ppd_R_c--> lald_D_c+nadh_c+h_c,1000.0
ALCD21_Dreverse,lald_D_c+nadh_c+h_c--> nad_c+12ppd_R_c,1000.0
ALCD21_L,12ppd_S_c+nad_c--> lald_L_c+nadh_c+h_c,346.6095669036843
ALR2,h_c+mthgxl_c+nadph_c--> nadp_c+acetol_c,346.6095669036843
ALR3,acetol_c+h_c+nadph_c--> 12ppd_S_c+nadp_c,346.6095669036843
LCADi,h2o_c+lald_L_c+nad_c--> nadh_c+lac_L_c+2.0*h_c,346.6095669036843
LDH_D,nad_c+lac_D_c--> pyr_c+nadh_c+h_c,1000.0
LDH_Dreverse,pyr_c+nadh_c+h_c--> nad_c+lac_D_c,1000.0
ME2m,mal_L_m+nadp_m--> pyr_m+co2_m+nadph_m,439.56043956043965
MGSA,dhap_c--> pi_c+mthgxl_c,346.6095669036843
MGSA2,g3p_c--> pi_c+mthgxl_c,1000.0
PPDOx,lald_D_c+nadh_c+h_c--> nad_c+12ppd_R_c,1000.0
PPDOxreverse,nad_c+12ppd_R_c--> lald_D_c+nadh_c+h_c,1000.0
----Phenylalanine metabolism----
ALDD19x_P,h2o_c+nadp_c+pacald_c--> pac_c+2.0*h_c+nadph_c,268.8730876966167
PACCOAL,pac_c+coa_c+atp_c--> phaccoa_c+ppi_c+amp_c,268.8730876966167
PEAMNO,o2_c+h2o_c+peamn_c--> h2o2_c+nh4_c+pacald_c,268.8730876966167
PHACCOAGLNAC,gln_L_c+phaccoa_c--> coa_c+pheacgln_c,268.8730876966167
PHYCBOXL,phe_L_c+h_c--> peamn_c+co2_c,268.8730876966167
----Eicosanoid Metabolism----
PGSr,2.0*o2_r+h_r+arachd_r+nadph_r--> h2o_r+nadp_r+prostgh2_r,10.0
TXASr,prostgh2_r--> txa2_r,10.0
TXBS,txa2_c+h2o_c+h_c--> txb2_c,10.000000000000002
----Glutathione Metabolism----
GTHP,h2o2_c+2.0*gthrd_c--> 2.0*h2o_c+gthox_c,858.6270918623865
GTHPe,h2o2_e+2.0*gthrd_e--> 2.0*h2o_e+gthox_e,100.0
GTHPm,h2o2_m+2.0*gthrd_m--> 2.0*h2o_m+gthox_m,439.56043956043965
----beta-Alanine metabolism----
----Transport_ Endoplasmic Reticular----
ARACHDtr,arachd_c--> arachd_r,10.0
G6Pter,g6p_c--> g6p_r,10.0
GLCterreverse,glc_D_r--> glc_D_c,10.0
Htr,h_c--> h_r,10.0
NADPHtru,nadph_c--> nadph_r,110.0
NADPtru,nadp_r--> nadp_c,10.0
O2ter,o2_c--> o2_r,20.0
PIter,pi_r--> pi_c,10.0
TXA2trreverse,txa2_r--> txa2_c,10.0
----Urea cycle/amino group metabolism----
ARGN,h2o_c+arg_L_c--> urea_c+orn_c,202.335703512174
HCO3Em,h2o_m+co2_m--> hco3_m+h_m,219.7802197802197
OCBTm,cbp_m+orn_m--> pi_m+citr_L_m+h_m,219.78021978021982
----Alanine and Aspartate Metabolism----
ASPTA,asp_L_c+akg_c--> oaa_c+glu_L_c,150.46182575594332
----Oxidative Phosphorylation----
ATPS4m,pi_m+4.0*h_c+adp_m--> atp_m+h2o_m+3.0*h_m,1000.0
CYOOm2,o2_m+4.0*focytC_m+8.0*h_m--> 2.0*h2o_m+4.0*h_c+4.0*ficytC_m,239.01098901098902
CYOR_u10m,2.0*h_m+q10h2_m+2.0*ficytC_m--> 2.0*focytC_m+4.0*h_c+q10_m,978.021978021978
NADH2_u10m,nadh_m+5.0*h_m+q10_m--> nad_m+4.0*h_c+q10h2_m,208.79120879120876
PPA,h2o_c+ppi_c--> 2.0*pi_c+h_c,268.87308769661684
----Heme Degradation----
----Carnitine shuttle----
C160CPT1,pmtcoa_c+crn_c--> pmtcrn_c+coa_c,10.255178994674791
CSNATr,accoa_c+crn_c--> coa_c+acrn_c,17.958568042601684
----ROS Detoxification----
CATm,2.0*h2o2_m--> o2_m+2.0*h2o_m,90.65934065934066
LSOProd,o2_m+focytC_m--> o2s_m+ficytC_m,1000.0
SPODM,2.0*o2s_c+2.0*h_c--> o2_c+h2o2_c,851.6483516483516
SPODMm,2.0*o2s_m+2.0*h_m--> o2_m+h2o2_m,148.35164835164838
----Glycerophospholipid Metabolism----
G3PD1,glyc3p_c+nad_c--> nadh_c+dhap_c+h_c,1000.0
G3PD1reverse,nadh_c+dhap_c+h_c--> glyc3p_c+nad_c,1000.0
----Cysteine Metabolism----
CYSGLTH,Lcystin_c+2.0*gthrd_c--> 2.0*cys_L_c+gthox_c,141.3729081376136
CYSTA,cys_L_c+akg_c--> mercppyr_c+glu_L_c,282.7458162752271
MCPST,cyan_c+mercppyr_c--> pyr_c+tcynt_c+h_c,282.7458162752271
----Pentose and Glucuronate Interconversions----
GULN3D,guln_c+nad_c--> nadh_c+h_c+3dhguln_c,1000.0
GULN3Dreverse,nadh_c+h_c+3dhguln_c--> guln_c+nad_c,1000.0
GULNDer,glcur_r+h_r+nadph_r--> nadp_r+guln_r,1000.0
GULNDerreverse,nadp_r+guln_r--> glcur_r+h_r+nadph_r,1000.0
XYLTD_Dr,xylt_c+nad_c--> nadh_c+h_c+xylu_D_c,1000.0
XYLTD_Drreverse,nadh_c+h_c+xylu_D_c--> xylt_c+nad_c,1000.0
XYLUR,h_c+nadph_c+xylu_L_c--> nadp_c+xylt_c,1000.0
XYLURreverse,nadp_c+xylt_c--> h_c+nadph_c+xylu_L_c,1000.0
----Tetrahydrobiopterin----
----Pentose Phosphate Pathway----
DRBK,atp_c+drib_c--> 2dr5p_c+h_c+adp_c,1000.0
DRPA,2dr5p_c--> acald_c+g3p_c,1000.0
G6PDH2r,nadp_c+g6p_c--> 6pgl_c+h_c+nadph_c,1000.0
G6PDH2rreverse,6pgl_c+h_c+nadph_c--> nadp_c+g6p_c,1000.0
PRPPS,atp_c+r5p_c--> prpp_c+h_c+amp_c,1000.0
PRPPSreverse,prpp_c+h_c+amp_c--> atp_c+r5p_c,1000.0
----Steroid Metabolism----
----Fatty acid oxidation----
ETF,etfox_m+fadh2_m--> fad_m+etfrd_m,769.2307692307693
ETFQO,etfrd_m+q10_m--> etfox_m+q10h2_m,769.2307692307693
----Fatty acid activation----
FACOAL1821,coa_c+lnlc_c+atp_c--> ppi_c+amp_c+lnlccoa_c,1000.0
FACOAL1821reverse,ppi_c+amp_c+lnlccoa_c--> coa_c+lnlc_c+atp_c,1000.0
----Fatty acid elongation----
FAS100COA,malcoa_c+3.0*h_c+occoa_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+dcacoa_c+co2_c,10.255178994674791
FAS120COA,malcoa_c+3.0*h_c+dcacoa_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+ddcacoa_c+co2_c,10.255178994674791
FAS140COA,malcoa_c+ddcacoa_c+3.0*h_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+tdcoa_c+co2_c,10.255178994674791
FAS160COA,malcoa_c+tdcoa_c+3.0*h_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+pmtcoa_c+co2_c,10.255178994674791
FAS80COA_L,3.0*malcoa_c+accoa_c+9.0*h_c+6.0*nadph_c--> 3.0*h2o_c+6.0*nadp_c+3.0*coa_c+occoa_c+3.0*co2_c,10.255178994674791
----Fructose and Mannose Metabolism----
FBA2,f1p_c--> dhap_c+glyald_c,173.30478345184213
HEX7,atp_c+fru_c--> f6p_c+h_c+adp_c,10.0
KHK,atp_c+fru_c--> f1p_c+h_c+adp_c,173.30478345184213
SBTD_D2,nad_c+sbt_D_c--> nadh_c+fru_c+h_c,1000.0
SBTR,glc_D_c+h_c+nadph_c--> nadp_c+sbt_D_c,1000.0
TRIOK,atp_c+glyald_c--> h_c+adp_c+g3p_c,173.30478345184213
----Folate Metabolism----
FTHFL,for_c+thf_c+atp_c--> 10fthf_c+pi_c+adp_c,1000.0
FTHFLreverse,10fthf_c+pi_c+adp_c--> for_c+thf_c+atp_c,1000.0
MTHFD,mlthf_c+nadp_c--> methf_c+nadph_c,1000.0
MTHFDreverse,methf_c+nadph_c--> mlthf_c+nadp_c,1000.0
MTHFD2m,nad_m+mlthf_m--> nadh_m+methf_m,1000.0
MTHFD2mreverse,nadh_m+methf_m--> nad_m+mlthf_m,1000.0
MTHFDm,nadp_m+mlthf_m--> methf_m+nadph_m,1000.0
MTHFDmreverse,methf_m+nadph_m--> nadp_m+mlthf_m,1000.0
----Proline Metabolism----
NOS1,o2_c+h_c+arg_L_c+nadph_c--> h2o_c+nwharg_c+nadp_c,281.38763197586746
NOS2,2.0*o2_c+2.0*nwharg_c+nadph_c--> 2.0*h2o_c+nadp_c+2.0*no_c+2.0*citr_L_c+h_c,140.69381598793373
P5CRxm,nadh_m+1pyr5c_m+2.0*h_m--> pro_L_m+nad_m,1000.0
PROD2m,fad_m+pro_L_m--> 1pyr5c_m+fadh2_m+h_m,1000.0
----Galactose metabolism----
----Starch and Sucrose Metabolism----
----Transport_ Peroxisomal----
----Histidine Metabolism----
----Inositol Phosphate Metabolism----
----NAD Metabolism----
NMNATr,nmn_c+atp_c+h_c--> ppi_c+nad_c,1000.0
NMNATrreverse,ppi_c+nad_c--> nmn_c+atp_c+h_c,1000.0
----Sphingolipid Metabolism----
----Pyrimidine Biosynthesis----
----Expanded DAG metabolism----
DAGK_hs_16_0_16_0,pa_hs_16_0_16_0_c+h_c+adp_c--> dag_hs_16_0_16_0_c+atp_c,1000.0
DAGK_hs_16_0_16_0reverse,dag_hs_16_0_16_0_c+atp_c--> pa_hs_16_0_16_0_c+h_c+adp_c,1000.0
DAGK_hs_16_0_18_0,pa_hs_16_0_18_0_c+h_c+adp_c--> atp_c+dag_hs_16_0_18_0_c,1000.0
DAGK_hs_16_0_18_0reverse,atp_c+dag_hs_16_0_18_0_c--> pa_hs_16_0_18_0_c+h_c+adp_c,1000.0
DAGK_hs_16_0_18_1,pa_hs_16_0_18_1_c+h_c+adp_c--> atp_c+dag_hs_16_0_18_1_c,1000.0
DAGK_hs_16_0_18_1reverse,atp_c+dag_hs_16_0_18_1_c--> pa_hs_16_0_18_1_c+h_c+adp_c,1000.0
DAGK_hs_16_0_18_2,h_c+adp_c+pa_hs_16_0_18_2_c--> atp_c+dag_hs_16_0_18_2_c,1000.0
DAGK_hs_16_0_18_2reverse,atp_c+dag_hs_16_0_18_2_c--> h_c+adp_c+pa_hs_16_0_18_2_c,1000.0
DAGK_hs_16_0_20_4,pa_hs_16_0_20_4_c+h_c+adp_c--> atp_c+dag_hs_16_0_20_4_c,1000.0
DAGK_hs_16_0_20_4reverse,atp_c+dag_hs_16_0_20_4_c--> pa_hs_16_0_20_4_c+h_c+adp_c,1000.0
DAGK_hs_18_0_18_0,h_c+adp_c+pa_hs_18_0_18_0_c--> dag_hs_18_0_18_0_c+atp_c,1000.0
DAGK_hs_18_0_18_0reverse,dag_hs_18_0_18_0_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_0_c,1000.0
DAGK_hs_18_0_18_1,h_c+adp_c+pa_hs_18_0_18_1_c--> dag_hs_18_0_18_1_c+atp_c,1000.0
DAGK_hs_18_0_18_1reverse,dag_hs_18_0_18_1_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_1_c,1000.0
DAGK_hs_18_0_18_2,h_c+adp_c+pa_hs_18_0_18_2_c--> dag_hs_18_0_18_2_c+atp_c,1000.0
DAGK_hs_18_0_18_2reverse,dag_hs_18_0_18_2_c+atp_c--> h_c+adp_c+pa_hs_18_0_18_2_c,1000.0
DAGK_hs_18_0_20_4,h_c+adp_c+pa_hs_18_0_20_4_c--> atp_c+dag_hs_18_0_20_4_c,1000.0
DAGK_hs_18_0_20_4reverse,atp_c+dag_hs_18_0_20_4_c--> h_c+adp_c+pa_hs_18_0_20_4_c,1000.0
DAGK_hs_18_1_18_1,pa_hs_18_1_18_1_c+h_c+adp_c--> dag_hs_18_1_18_1_c+atp_c,1000.0
DAGK_hs_18_1_18_1reverse,dag_hs_18_1_18_1_c+atp_c--> pa_hs_18_1_18_1_c+h_c+adp_c,1000.0
DAGK_hs_18_1_18_2,pa_hs_18_1_18_2_c+h_c+adp_c--> atp_c+dag_hs_18_1_18_2_c,1000.0
DAGK_hs_18_1_18_2reverse,atp_c+dag_hs_18_1_18_2_c--> pa_hs_18_1_18_2_c+h_c+adp_c,1000.0
DAGK_hs_18_1_20_4,pa_hs_18_1_20_4_c+h_c+adp_c--> atp_c+dag_hs_18_1_20_4_c,1000.0
