----Intracellular Constraint----
4ABUTtm,4abut_c--> 4abut_m,58.54849017414894
FUMtm,pi_m+fum_c--> pi_c+fum_m,824.4801086435532
GLNtm,gln_L_c--> gln_L_m,66.46197475635113
H2O2tm,h2o2_c--> h2o2_m,212.77041060872364
MALtm,mal_L_c+pi_m--> mal_L_m+pi_c,175.51989135644703
O2Stmreverse,o2s_m--> o2s_c,542.5540821217447
O2tm,o2_c--> o2_m,1000.0
ORNt4mreverse,citr_L_m+h_m+orn_c--> citr_L_c+h_c+orn_m,191.4724396868512
SUCCt2mreverse,pi_c+succ_m--> pi_m+succ_c,1000.0
PYRt2mreverse,h_m+pyr_m--> pyr_c+h_c,441.4933695478514
ATPtm,atp_m+adp_c--> atp_c+adp_m,1000.0
H2Otmreverse,h2o_m--> h2o_c,1000.0
CO2tmreverse,co2_m--> co2_c,632.9658092347022
----Transport_ Lysosomal----
----Lysine Metabolism----
----Pyrimidine Catabolism----
2DR1PP,h2o_c+2dr1p_c--> drib_c+pi_c,1000.0
DURAD,56dura_c+nadp_c--> ura_c+h_c+nadph_c,1000.0
DURADreverse,ura_c+h_c+nadph_c--> 56dura_c+nadp_c,1000.0
PYNP2rreverse,ura_c+r1p_c--> uri_c+pi_c,133.6938808116312
TMDPP,thymd_c+pi_c--> 2dr1p_c+thym_c,1000.0
----Tryptophan metabolism----
HACD1m,nadh_m+h_m+aacoa_m--> nad_m+3hbcoa_m,1000.0
HACD1mreverse,nad_m+3hbcoa_m--> nadh_m+h_m+aacoa_m,1000.0
----Tyrosine metabolism----
3M4HDXPAC,3mox4hpac_c+h2o_c+nad_c--> homoval_c+nadh_c+2.0*h_c,1000.0
3M4HDXPACreverse,homoval_c+nadh_c+2.0*h_c--> 3mox4hpac_c+h2o_c+nad_c,1000.0
4HOXPACDOX_NADP,h2o_c+nadp_c+4hoxpacd_c--> 4hphac_c+2.0*h_c+nadph_c,1000.0
4HOXPACDOX_NADPreverse,4hphac_c+2.0*h_c+nadph_c--> h2o_c+nadp_c+4hoxpacd_c,1000.0
FALDH,fald_c+nad_c+gthrd_c--> nadh_c+Sfglutth_c+h_c,1000.0
FALDHreverse,nadh_c+Sfglutth_c+h_c--> fald_c+nad_c+gthrd_c,1000.0
----Valine_ Leucine_ and Isoleucine Metabolism----
3HBCOAHLm,h2o_m+3hibutcoa_m--> coa_m+3hmp_m+h_m,316.482904617351
ACOAD9m,fad_m+ibcoa_m--> fadh2_m+2mp2coa_m,316.482904617351
ECOAH12m,h2o_m+2mp2coa_m--> 3hibutcoa_m,316.482904617351
HACD9m,nad_m+3hmbcoa_m--> nadh_m+h_m+2maacoa_m,1000.0
HACD9mreverse,nadh_m+h_m+2maacoa_m--> nad_m+3hmbcoa_m,1000.0
HIBDm,3hmp_m+nad_m--> nadh_m+h_m+2mop_m,1000.0
HIBDmreverse,nadh_m+h_m+2mop_m--> 3hmp_m+nad_m,683.517095382649
MCCCrm,atp_m+hco3_m+3mb2coa_m--> 3mgcoa_m+pi_m+h_m+adp_m,1000.0
MCCCrmreverse,3mgcoa_m+pi_m+h_m+adp_m--> atp_m+hco3_m+3mb2coa_m,1000.0
MMMm,mmcoa_R_m--> succoa_m,316.482904617351
MMTSADm,coa_m+nad_m+2mop_m--> nadh_m+mmcoa_R_m+h_m,316.482904617351
OIVD2m,coa_m+nad_m+3mob_m--> nadh_m+ibcoa_m+co2_m,316.482904617351
VALTA,val_L_c+akg_c--> 3mob_c+glu_L_c,1000.0
----Transport_ Extracellular----
5MTHFtreverse,5mthf_c--> 5mthf_e,13.749660488896042
5MTHFt2,oh1_c+5mthf_e--> oh1_e+5mthf_c,13.749660488896042
ACt2rreverse,ac_c+h_c--> ac_e+h_e,1000.0
ADEt,ade_e--> ade_c,402.88584438408617
ADNt,adn_e--> adn_c,100.0
ALAGLNexRreverse,gln_L_e+ala_L_c--> gln_L_c+ala_L_e,663.5761303722651
ARACHDt2,arachd_e--> arachd_c,200.0
ARGtiDF,arg_L_e--> arg_L_c,185.74261064067736
ASPt6,3.0*na1_e+h_e+asp_L_e+k_c--> 3.0*na1_c+h_c+asp_L_c+k_e,486.0284390477709
CITt4_2,2.0*na1_e+cit_e--> 2.0*na1_c+cit_c,1000.0
CITt4_4,4.0*na1_e+cit_e--> 4.0*na1_c+cit_c,100.0
CLOHtex2reverse,2.0*cl_c+oh1_e--> oh1_c+2.0*cl_e,13.749660488896042
CO2treverse,co2_c--> co2_e,1000.0
CRNtuNareverse,na1_c+crn_c--> na1_e+crn_e,100.0
CYANt,cyan_e--> cyan_c,277.54769132449417
CYSTGLUex,Lcystin_e+glu_L_c--> glu_L_e+Lcystin_c,238.7738456622471
FATP1t,na1_c+hdca_c--> na1_e+hdca_e,25.0
FRUt4reverse,na1_c+fru_c--> na1_e+fru_e,444.03858443840903
GLCt1r,glc_D_e--> glc_D_c,1000.0
H2O2t,h2o2_e--> h2o2_c,1000.0
HCO3_NAtreverse,na1_c+hco3_c--> na1_e+hco3_e,825.0000000000001
HYXNtreverse,hxan_c--> hxan_e,502.88584438408617
L_LACt2rreverse,lac_L_c+h_c--> lac_L_e+h_e,1000.0
LEUKTRF4treverse,leuktrF4_c--> leuktrF4_e,100.0
NOtreverse,no_c--> no_e,185.74261064067736
NaKt,3.0*na1_c+h2o_c+atp_c+2.0*k_e--> 3.0*na1_e+pi_c+h_c+adp_c+2.0*k_c,243.01421952388546
O2Streverse,o2s_e--> o2s_c,1000.0
O2t,o2_e--> o2_c,1000.0
ORNtiDF,orn_e--> orn_c,191.4724396868512
PHEACGLNt,pheacgln_c--> pheacgln_e,99.79181977951768
PHEtec,phe_L_e--> phe_L_c,99.79181977951768
PIt2m_2,pi_c+2.0*h_c--> pi_m+2.0*h_m,1000.0
PYRt2rreverse,pyr_c+h_c--> pyr_e+h_e,1000.0
SO4CLtex2reverse,2.0*so4_c+cl_e--> 2.0*so4_e+cl_c,27.499320977792085
SO4t4_3,3.0*na1_e+so4_e--> 3.0*na1_c+so4_c,54.99864195558417
SUCCt4_2reverse,2.0*na1_c+succ_c--> 2.0*na1_e+succ_e,1000.0
TCYNTt,tcynt_c--> tcynt_e,277.54769132449417
THMDt4,na1_e+thymd_e--> na1_c+thymd_c,1000.0
THYMtreverse,thym_c--> thym_e,1000.0
TXA2te,txa2_e--> txa2_c,713.0821217446879
URAt,ura_e--> ura_c,133.6938808116312
URItreverse,uri_c--> uri_e,133.6938808116312
VALt4,val_L_e+na1_e--> val_L_c+na1_c,1000.0
GLYt2r,gly_e+h_e--> gly_c+h_c,100.00000000000006
AMPtreverse,amp_c--> amp_e,899.9999999999995
H2Ot,h2o_e--> h2o_c,300.0
PIt9reverse,2.0*na1_c+pi_c--> 2.0*na1_e+pi_e,1000.0
NH4t3r,nh4_c+h_e--> nh4_e+h_c,100.0
Ht,h_e--> h_c,213.97156095222908
GLNtreverse,gln_L_c--> gln_L_e,1000.0
----CYP Metabolism----
----Heme Biosynthesis----
----Propanoate Metabolism----
AACOAT,coa_c+atp_c+acac_c--> ppi_c+amp_c+aacoa_c,1000.0
AACOATreverse,ppi_c+amp_c+aacoa_c--> coa_c+atp_c+acac_c,1000.0
----Glutamate metabolism----
ABTArm,4abut_m+akg_m--> glu_L_m+sucsal_m,58.54849017414894
ALATA_Lreverse,pyr_c+glu_L_c--> ala_L_c+akg_c,763.5761303722651
CBPSam,2.0*atp_m+nh4_m+hco3_m--> cbp_m+pi_m+2.0*h_m+2.0*adp_m,191.4724396868512
GLNS,nh4_c+atp_c+glu_L_c--> gln_L_c+pi_c+h_c+adp_c,502.6776641636038
GLUDC,h_c+glu_L_c--> 4abut_c+co2_c,58.54849017414894
GLUDxm,h2o_m+glu_L_m+nad_m--> nadh_m+nh4_m+h_m+akg_m,1000.0
GLUDxmreverse,nadh_m+nh4_m+h_m+akg_m--> h2o_m+glu_L_m+nad_m,874.9895350694999
GLUNm,h2o_m+gln_L_m--> glu_L_m+nh4_m,66.46197475635113
GTHO,h_c+gthox_c+nadph_c--> nadp_c+2.0*gthrd_c,1000.0
GTHOm,h_m+gthox_m+nadph_m--> nadp_m+2.0*gthrd_m,441.4933695478513
SSALxm,h2o_m+nad_m+sucsal_m--> nadh_m+2.0*h_m+succ_m,58.54849017414894
----Cholesterol Metabolism----
----Fatty Acid Metabolism----
ACCOAC,atp_c+accoa_c+hco3_c--> malcoa_c+pi_c+h_c+adp_c,175.0
----Citric Acid Cycle----
ACITL,coa_c+atp_c+cit_c--> oaa_c+pi_c+accoa_c+adp_c,100.0
ACONT,cit_c--> icit_c,1000.0
AKGDm,coa_m+nad_m+akg_m--> nadh_m+succoa_m+co2_m,66.46197475635125
FUMm,h2o_m+fum_m--> mal_L_m,265.97347819140435
ICDHxm,nad_m+icit_m--> nadh_m+co2_m+akg_m,1000.0
ICDHxmreverse,nadh_m+co2_m+akg_m--> nad_m+icit_m,1000.0
ICDHy,nadp_c+icit_c--> co2_c+akg_c+nadph_c,1000.0
ICDHyrm,nadp_m+icit_m--> co2_m+akg_m+nadph_m,1000.0
ICDHyrmreverse,co2_m+akg_m+nadph_m--> nadp_m+icit_m,1000.0
MDH,mal_L_c+nad_c--> nadh_c+oaa_c+h_c,413.9715609522291
MDHreverse,nadh_c+oaa_c+h_c--> mal_L_c+nad_c,1000.0
MDHm,mal_L_m+nad_m--> nadh_m+oaa_m+h_m,1000.0
MDHmreverse,nadh_m+oaa_m+h_m--> mal_L_m+nad_m,1000.0
SUCD1mreverse,fadh2_m+fum_m--> fad_m+succ_m,558.5066304521489
SUCOASm,atp_m+coa_m+succ_m--> pi_m+succoa_m+adp_m,617.0551206262978
SUCOASmreverse,pi_m+succoa_m+adp_m--> atp_m+coa_m+succ_m,1000.0
----Glycolysis/Gluconeogenesis----
ALDD2y,h2o_c+nadp_c+acald_c--> ac_c+2.0*h_c+nadph_c,1000.0
ENO,2pg_c--> pep_c+h2o_c,825.2522367790377
FBA,fdp_c--> dhap_c+g3p_c,522.2675347499597
GAPD,nad_c+pi_c+g3p_c--> nadh_c+13dpg_c+h_c,1000.0
GAPDreverse,nadh_c+13dpg_c+h_c--> nad_c+pi_c+g3p_c,174.7477632209623
LDH_L,nad_c+lac_L_c--> pyr_c+nadh_c+h_c,219.2828327208819
LDH_Lreverse,pyr_c+nadh_c+h_c--> nad_c+lac_L_c,1000.0
PFK,f6p_c+atp_c--> h_c+adp_c+fdp_c,522.2675347499597
PGIreverse,f6p_c--> g6p_c,33.69388081163123
PGK,atp_c+3pg_c--> 13dpg_c+adp_c,174.7477632209623
PGKreverse,13dpg_c+adp_c--> atp_c+3pg_c,1000.0
PGMreverse,3pg_c--> 2pg_c,825.2522367790377
PYK,pep_c+h_c+adp_c--> pyr_c+atp_c,825.2522367790377
TPIreverse,g3p_c--> dhap_c,477.73246525004015
----Purine Catabolism----
ADA,adn_c+h2o_c+h_c--> ins_c+nh4_c,502.88584438408617
PUNP5,ins_c+pi_c--> hxan_c+r1p_c,502.88584438408617
----Nucleotides----
ADAe,h2o_e+adn_e+h_e--> ins_e+nh4_e,1000.0
ADK1,atp_c+amp_c--> 2.0*adp_c,375.79181977951805
ADK1reverse,2.0*adp_c--> atp_c+amp_c,1000.0
ADK1m,atp_m+amp_m--> 2.0*adp_m,1000.0
ADK1mreverse,2.0*adp_m--> atp_m+amp_m,1000.0
ADNCYC,atp_c--> camp_c+ppi_c,1.0
CYTK1,cmp_c+atp_c--> cdp_c+adp_c,1000.0
CYTK1reverse,cdp_c+adp_c--> cmp_c+atp_c,900.0
GK1,atp_c+gmp_c--> gdp_c+adp_c,1000.0
GK1reverse,gdp_c+adp_c--> atp_c+gmp_c,1000.0
NDPK1,gdp_c+atp_c--> gtp_c+adp_c,1000.0
NDPK1reverse,gtp_c+adp_c--> gdp_c+atp_c,1000.0
NDPK1m,atp_m+gdp_m--> gtp_m+adp_m,1000.0
NDPK1mreverse,gtp_m+adp_m--> atp_m+gdp_m,1000.0
NDPK2,atp_c+udp_c--> utp_c+adp_c,1000.0
NDPK2reverse,utp_c+adp_c--> atp_c+udp_c,900.0
NDPK3,atp_c+cdp_c--> ctp_c+adp_c,1000.0
NDPK3reverse,ctp_c+adp_c--> atp_c+cdp_c,1000.0
PDE1,h2o_c+camp_c--> h_c+amp_c,1.0
PUNP1reverse,r1p_c+ade_c--> adn_c+pi_c,402.88584438408617
UMPK,ump_c+atp_c--> udp_c+adp_c,1000.0
UMPKreverse,udp_c+adp_c--> ump_c+atp_c,1000.0
UMPK2reverse,cdp_c+udp_c--> ump_c+ctp_c,100.0
UMPK3,ump_c+utp_c--> 2.0*udp_c,100.0
----Salvage Pathway----
----IMP Biosynthesis----
PRAGSr,pram_c+atp_c+gly_c--> pi_c+gar_c+h_c+adp_c,1000.0
PRAGSrreverse,pi_c+gar_c+h_c+adp_c--> pram_c+atp_c+gly_c,1000.0
PRASCS,5aizc_c+atp_c+asp_L_c--> pi_c+h_c+adp_c+25aics_c,1000.0
PRASCSreverse,pi_c+h_c+adp_c+25aics_c--> 5aizc_c+atp_c+asp_L_c,1000.0
----Methionine Metabolism----
----Glycine_ Serine_ and Threonine Metabolism----
ALR,h2o_c+nadp_c+mthgxl_c--> pyr_c+2.0*h_c+nadph_c,1000.0
----Miscellaneous----
ALCD1,nad_c+meoh_c--> fald_c+nadh_c+h_c,102.92770410608651
ALCD1reverse,fald_c+nadh_c+h_c--> nad_c+meoh_c,1000.0
H2CO3D,h2o_c+co2_c--> h2co3_c,1000.0
H2CO3D2reverse,h2co3_c--> hco3_c+h_c,1000.0
PRDX,h2o2_c+meoh_c--> fald_c+2.0*h2o_c,897.0722958939135
----Pyruvate Metabolism----
ALCD21_D,nad_c+12ppd_R_c--> lald_D_c+nadh_c+h_c,1000.0
ALCD21_Dreverse,lald_D_c+nadh_c+h_c--> nad_c+12ppd_R_c,1000.0
ALCD21_L,12ppd_S_c+nad_c--> lald_L_c+nadh_c+h_c,219.2828327208819
ALR2,h_c+mthgxl_c+nadph_c--> nadp_c+acetol_c,219.2828327208819
ALR3,acetol_c+h_c+nadph_c--> 12ppd_S_c+nadp_c,219.2828327208819
LCADi,h2o_c+lald_L_c+nad_c--> nadh_c+lac_L_c+2.0*h_c,219.2828327208819
LDH_D,nad_c+lac_D_c--> pyr_c+nadh_c+h_c,1000.0
LDH_Dreverse,pyr_c+nadh_c+h_c--> nad_c+lac_D_c,1000.0
ME2m,mal_L_m+nadp_m--> pyr_m+co2_m+nadph_m,441.4933695478514
MGSA,dhap_c--> pi_c+mthgxl_c,1000.0
MGSA2,g3p_c--> pi_c+mthgxl_c,219.2828327208819
PPDOx,lald_D_c+nadh_c+h_c--> nad_c+12ppd_R_c,1000.0
PPDOxreverse,nad_c+12ppd_R_c--> lald_D_c+nadh_c+h_c,1000.0
----Phenylalanine metabolism----
ALDD19x_P,h2o_c+nadp_c+pacald_c--> pac_c+2.0*h_c+nadph_c,99.79181977951768
PACCOAL,pac_c+coa_c+atp_c--> phaccoa_c+ppi_c+amp_c,99.79181977951768
PEAMNO,o2_c+h2o_c+peamn_c--> h2o2_c+nh4_c+pacald_c,99.79181977951768
PHACCOAGLNAC,gln_L_c+phaccoa_c--> coa_c+pheacgln_c,99.79181977951768
PHYCBOXL,phe_L_c+h_c--> peamn_c+co2_c,99.79181977951768
----Eicosanoid Metabolism----
ALOX5,o2_c+arachd_c--> 5HPET_c,100.0
ALOX52,5HPET_c--> h2o_c+leuktrA4_c,100.0
GGT5r,h2o_r+leuktrC4_r--> glu_L_r+leuktrD4_r,100.0
GGT6,glu_L_c+leuktrE4_c--> leuktrF4_c+h2o_c,100.0
LTC4Sr,leuktrA4_r+gthrd_r--> leuktrC4_r,100.0
LTD4DP,h2o_c+leuktrD4_c--> gly_c+leuktrE4_c,100.0
PGSr,2.0*o2_r+h_r+arachd_r+nadph_r--> h2o_r+nadp_r+prostgh2_r,100.0
TXASr,prostgh2_r--> txa2_r,100.0
TXBS,txa2_c+h2o_c+h_c--> txb2_c,813.0821217446879
----Glutathione Metabolism----
GLUCYS,cys_L_c+atp_c+glu_L_c--> glucys_c+pi_c+h_c+adp_c,200.00000000000006
GTHP,h2o2_c+2.0*gthrd_c--> 2.0*h2o_c+gthox_c,761.2261543377529
GTHPe,h2o2_e+2.0*gthrd_e--> 2.0*h2o_e+gthox_e,100.0
GTHPm,h2o2_m+2.0*gthrd_m--> 2.0*h2o_m+gthox_m,441.4933695478513
GTHS,atp_c+glucys_c+gly_c--> pi_c+h_c+adp_c+gthrd_c,200.00000000000006
GTMLTe,ala_L_c+gthrd_c--> cgly_e+gluala_e,100.0
----beta-Alanine metabolism----
----Transport_ Endoplasmic Reticular----
ARACHDtr,arachd_c--> arachd_r,100.0
GLUtrreverse,glu_L_r--> glu_L_c,100.0
GTHRDtr,gthrd_c--> gthrd_r,100.0
Htr,h_c--> h_r,100.0
LEUKTRA4tr,leuktrA4_c--> leuktrA4_r,100.0
LEUKTRD4trreverse,leuktrD4_r--> leuktrD4_c,100.0
NADPHtru,nadph_c--> nadph_r,200.0
NADPtru,nadp_r--> nadp_c,100.0
O2ter,o2_c--> o2_r,200.0
TXA2trreverse,txa2_r--> txa2_c,100.0
----Urea cycle/amino group metabolism----
HCO3Em,h2o_m+co2_m--> hco3_m+h_m,191.4724396868512
OCBTm,cbp_m+orn_m--> pi_m+citr_L_m+h_m,191.4724396868512
----Alanine and Aspartate Metabolism----
ASPTA,asp_L_c+akg_c--> oaa_c+glu_L_c,486.02843904777086
----Oxidative Phosphorylation----
ATPS4m,pi_m+4.0*h_c+adp_m--> atp_m+h2o_m+3.0*h_m,1000.0
CYOOm2,o2_m+4.0*focytC_m+8.0*h_m--> 2.0*h2o_m+4.0*h_c+4.0*ficytC_m,228.7229589391276
CYOR_u10m,2.0*h_m+q10h2_m+2.0*ficytC_m--> 2.0*focytC_m+4.0*h_c+q10_m,957.4459178782553
NADH2_u10m,nadh_m+5.0*h_m+q10_m--> nad_m+4.0*h_c+q10h2_m,199.46964371305313
PPA,h2o_c+ppi_c--> 2.0*pi_c+h_c,375.7918197795176
----Heme Degradation----
----Carnitine shuttle----
CSNATrreverse,coa_c+acrn_c--> accoa_c+crn_c,100.0
----ROS Detoxification----
LSOProd,o2_m+focytC_m--> o2s_m+ficytC_m,1000.0
SPODM,2.0*o2s_c+2.0*h_c--> o2_c+h2o2_c,771.2770410608724
SPODMm,2.0*o2s_m+2.0*h_m--> o2_m+h2o2_m,228.7229589391276
----Glycerophospholipid Metabolism----
G3PD1,glyc3p_c+nad_c--> nadh_c+dhap_c+h_c,1000.0
G3PD1reverse,nadh_c+dhap_c+h_c--> glyc3p_c+nad_c,1000.0
GLYK,glyc_c+atp_c--> glyc3p_c+h_c+adp_c,100.0
----Cysteine Metabolism----
CYSGLTH,Lcystin_c+2.0*gthrd_c--> 2.0*cys_L_c+gthox_c,238.7738456622471
CYSTA,cys_L_c+akg_c--> mercppyr_c+glu_L_c,277.54769132449417
MCPST,cyan_c+mercppyr_c--> pyr_c+tcynt_c+h_c,277.54769132449417
----Pentose and Glucuronate Interconversions----
GULN3D,guln_c+nad_c--> nadh_c+h_c+3dhguln_c,1000.0
GULN3Dreverse,nadh_c+h_c+3dhguln_c--> guln_c+nad_c,1000.0
GULNDer,glcur_r+h_r+nadph_r--> nadp_r+guln_r,1000.0
GULNDerreverse,nadp_r+guln_r--> glcur_r+h_r+nadph_r,1000.0
XYLTD_Dr,xylt_c+nad_c--> nadh_c+h_c+xylu_D_c,1000.0
XYLTD_Drreverse,nadh_c+h_c+xylu_D_c--> xylt_c+nad_c,1000.0
XYLUR,h_c+nadph_c+xylu_L_c--> nadp_c+xylt_c,1000.0
XYLURreverse,nadp_c+xylt_c--> h_c+nadph_c+xylu_L_c,1000.0
----Tetrahydrobiopterin----
----Pentose Phosphate Pathway----
DRBK,atp_c+drib_c--> 2dr5p_c+h_c+adp_c,1000.0
DRPA,2dr5p_c--> acald_c+g3p_c,1000.0
G6PDH2r,nadp_c+g6p_c--> 6pgl_c+h_c+nadph_c,1000.0
G6PDH2rreverse,6pgl_c+h_c+nadph_c--> nadp_c+g6p_c,966.3061191883688
GND,nadp_c+6pgc_c--> co2_c+nadph_c+ru5p_D_c,33.69388081163123
PGL,h2o_c+6pgl_c--> 6pgc_c+h_c,33.69388081163123
PPMreverse,r5p_c--> r1p_c,33.6938808116312
PRPPS,atp_c+r5p_c--> prpp_c+h_c+amp_c,1000.0
PRPPSreverse,prpp_c+h_c+amp_c--> atp_c+r5p_c,1000.0
RPIreverse,ru5p_D_c--> r5p_c,33.69388081163123
----Steroid Metabolism----
----Fatty acid oxidation----
ETF,etfox_m+fadh2_m--> fad_m+etfrd_m,757.9762741652021
ETFQO,etfrd_m+q10_m--> etfox_m+q10h2_m,757.9762741652021
----Fatty acid activation----
FACOAL160i,coa_c+hdca_c+atp_c--> ppi_c+pmtcoa_c+amp_c,125.0
FACOAL180i,coa_c+atp_c+ocdca_c--> ppi_c+amp_c+stcoa_c,50.0
FACOAL1821,coa_c+lnlc_c+atp_c--> ppi_c+amp_c+lnlccoa_c,1000.0
FACOAL1821reverse,ppi_c+amp_c+lnlccoa_c--> coa_c+lnlc_c+atp_c,1000.0
----Fatty acid elongation----
FAS100COA,malcoa_c+3.0*h_c+occoa_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+dcacoa_c+co2_c,25.0
FAS120COA,malcoa_c+3.0*h_c+dcacoa_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+ddcacoa_c+co2_c,25.0
FAS140COA,malcoa_c+ddcacoa_c+3.0*h_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+tdcoa_c+co2_c,25.0
FAS160COA,malcoa_c+tdcoa_c+3.0*h_c+2.0*nadph_c--> h2o_c+2.0*nadp_c+coa_c+pmtcoa_c+co2_c,25.0
FAS80COA_L,3.0*malcoa_c+accoa_c+9.0*h_c+6.0*nadph_c--> 3.0*h2o_c+6.0*nadp_c+3.0*coa_c+occoa_c+3.0*co2_c,25.0
----Fructose and Mannose Metabolism----
HEX7,atp_c+fru_c--> f6p_c+h_c+adp_c,555.9614155615909
SBTD_D2,nad_c+sbt_D_c--> nadh_c+fru_c+h_c,1000.0
SBTR,glc_D_c+h_c+nadph_c--> nadp_c+sbt_D_c,1000.0
----Folate Metabolism----
FTHFL,for_c+thf_c+atp_c--> 10fthf_c+pi_c+adp_c,1000.0
FTHFLreverse,10fthf_c+pi_c+adp_c--> for_c+thf_c+atp_c,1000.0
MTHFD,mlthf_c+nadp_c--> methf_c+nadph_c,1000.0
MTHFDreverse,methf_c+nadph_c--> mlthf_c+nadp_c,1000.0
MTHFD2m,nad_m+mlthf_m--> nadh_m+methf_m,1000.0
MTHFD2mreverse,nadh_m+methf_m--> nad_m+mlthf_m,1000.0
MTHFDm,nadp_m+mlthf_m--> methf_m+nadph_m,1000.0
MTHFDmreverse,methf_m+nadph_m--> nadp_m+mlthf_m,1000.0
----Proline Metabolism----
NOS1,o2_c+h_c+arg_L_c+nadph_c--> h2o_c+nwharg_c+nadp_c,185.74261064067736
NOS2,2.0*o2_c+2.0*nwharg_c+nadph_c--> 2.0*h2o_c+nadp_c+2.0*no_c+2.0*citr_L_c+h_c,92.87130532033868
P5CRxm,nadh_m+1pyr5c_m+2.0*h_m--> pro_L_m+nad_m,1000.0
PROD2m,fad_m+pro_L_m--> 1pyr5c_m+fadh2_m+h_m,1000.0
----Galactose metabolism----
----Starch and Sucrose Metabolism----
----Transport_ Peroxisomal----
----Histidine Metabolism----
----Inositol Phosphate Metabolism----
MI145PP,h2o_c+mi145p_c--> pi_c+mi14p_c,100.0
MI14PP,h2o_c+mi14p_c--> mi4p_D_c+pi_c,100.0
MI4PP,h2o_c+mi4p_D_c--> inost_c+pi_c,100.0
----NAD Metabolism----
NMNATr,nmn_c+atp_c+h_c--> ppi_c+nad_c,1000.0
NMNATrreverse,ppi_c+nad_c--> nmn_c+atp_c+h_c,1000.0
----Sphingolipid Metabolism----
----Pyrimidine Biosynthesis----
----Expanded DAG metabolism----
GPAM_hs_16_0,glyc3p_c+pmtcoa_c--> coa_c+alpha_hs_16_0_c,100.0
LPS3_hs_16_0,h2o_c+mag_hs_16_0_c--> glyc_c+hdca_c+h_c,100.0
AGPAT1_16_0_16_0,pmtcoa_c+alpha_hs_16_0_c--> coa_c+pa_hs_16_0_16_0_c,50.0
DAGK_hs_16_0_16_0,pa_hs_16_0_16_0_c+h_c+adp_c--> dag_hs_16_0_16_0_c+atp_c,1000.0
DAGK_hs_16_0_16_0reverse,dag_hs_16_0_16_0_c+atp_c--> pa_hs_16_0_16_0_c+h_c+adp_c,1000.0
LPS2_16_0_16_0,h2o_c+dag_hs_16_0_16_0_c--> hdca_c+mag_hs_16_0_c+h_c,50.0
AGPAT1_16_0_18_0,stcoa_c+alpha_hs_16_0_c--> pa_hs_16_0_18_0_c+coa_c,50.0
DAGK_hs_16_0_18_0,pa_hs_16_0_18_0_c+h_c+adp_c--> atp_c+dag_hs_16_0_18_0_c,1000.0
