1 sink_xan_c|Intracellular Constraint::xan_c --> []
120 EX_na1_e|Extracellular exchange_reverse::[] --> na1_e
121 EX_nad_e|Extracellular exchange::nad_e --> []
122 EX_nad_e|Extracellular exchange_reverse::[] --> nad_e
123 EX_ncam_e|Extracellular exchange::ncam_e --> []
124 EX_ncam_e|Extracellular exchange_reverse::[] --> ncam_e
125 EX_nh4_e|Extracellular exchange::nh4_e --> []
126 EX_nh4_e|Extracellular exchange_reverse::[] --> nh4_e
127 EX_no_e|Extracellular exchange::no_e --> []
128 EX_no_e|Extracellular exchange_reverse::[] --> no_e
129 EX_nrpphrsf_e|Extracellular exchange::nrpphrsf_e --> []
130 EX_nrpphrsf_e|Extracellular exchange_reverse::[] --> nrpphrsf_e
131 EX_o2_e|Extracellular exchange::o2_e --> []
132 EX_o2_e|Extracellular exchange_reverse::[] --> o2_e
133 EX_o2s_e|Extracellular exchange::o2s_e --> []
134 EX_o2s_e|Extracellular exchange_reverse::[] --> o2s_e
135 EX_ocdca_e|Extracellular exchange::ocdca_e --> []
136 EX_ocdca_e|Extracellular exchange_reverse::[] --> ocdca_e
137 EX_ocdcea_e|Extracellular exchange::ocdcea_e --> []
138 EX_ocdcea_e|Extracellular exchange_reverse::[] --> ocdcea_e
139 EX_orn_e|Extracellular exchange::orn_e --> []
140 EX_orn_e|Extracellular exchange_reverse::[] --> orn_e
141 EX_phe_L_e|Extracellular exchange::phe_L_e --> []
142 EX_phe_L_e|Extracellular exchange_reverse::[] --> phe_L_e
143 EX_pheacgln_e|Extracellular exchange::pheacgln_e --> []
144 EX_pheacgln_e|Extracellular exchange_reverse::[] --> pheacgln_e
145 EX_pheme_e|Extracellular exchange::pheme_e --> []
146 EX_pheme_e|Extracellular exchange_reverse::[] --> pheme_e
147 EX_pi_e|Extracellular exchange::pi_e --> []
148 EX_pi_e|Extracellular exchange_reverse::[] --> pi_e
149 EX_pro_L_e|Extracellular exchange::pro_L_e --> []
150 EX_pro_L_e|Extracellular exchange_reverse::[] --> pro_L_e
151 EX_prostgd2_e|Extracellular exchange::prostgd2_e --> []
152 EX_prostgd2_e|Extracellular exchange_reverse::[] --> prostgd2_e
153 EX_pyr_e|Extracellular exchange::pyr_e --> []
154 EX_pyr_e|Extracellular exchange_reverse::[] --> pyr_e
155 EX_ser_L_e|Extracellular exchange::ser_L_e --> []
156 EX_ser_L_e|Extracellular exchange_reverse::[] --> ser_L_e
157 EX_so4_e|Extracellular exchange::so4_e --> []
158 EX_so4_e|Extracellular exchange_reverse::[] --> so4_e
159 EX_spc_hs_e|Extracellular exchange::spc_hs_e --> []
160 EX_spc_hs_e|Extracellular exchange_reverse::[] --> spc_hs_e
161 EX_sphs1p_e|Extracellular exchange::sphs1p_e --> []
162 EX_sphs1p_e|Extracellular exchange_reverse::[] --> sphs1p_e
163 EX_srtn_e|Extracellular exchange::srtn_e --> []
164 EX_srtn_e|Extracellular exchange_reverse::[] --> srtn_e
165 EX_succ_e|Extracellular exchange::succ_e --> []
166 EX_succ_e|Extracellular exchange_reverse::[] --> succ_e
167 EX_tcynt_e|Extracellular exchange::tcynt_e --> []
168 EX_tcynt_e|Extracellular exchange_reverse::[] --> tcynt_e
169 EX_thym_e|Extracellular exchange::thym_e --> []
170 EX_thym_e|Extracellular exchange_reverse::[] --> thym_e
171 EX_thymd_e|Extracellular exchange::thymd_e --> []
172 EX_thymd_e|Extracellular exchange_reverse::[] --> thymd_e
173 EX_trp_L_e|Extracellular exchange::trp_L_e --> []
174 EX_trp_L_e|Extracellular exchange_reverse::[] --> trp_L_e
175 EX_tsul_e|Extracellular exchange::tsul_e --> []
176 EX_tsul_e|Extracellular exchange_reverse::[] --> tsul_e
177 EX_txa2_e|Extracellular exchange::txa2_e --> []
178 EX_txa2_e|Extracellular exchange_reverse::[] --> txa2_e
179 EX_tymsf_e|Extracellular exchange::tymsf_e --> []
180 EX_tymsf_e|Extracellular exchange_reverse::[] --> tymsf_e
181 EX_tyr_L_e|Extracellular exchange::tyr_L_e --> []
182 EX_tyr_L_e|Extracellular exchange_reverse::[] --> tyr_L_e
183 EX_ura_e|Extracellular exchange::ura_e --> []
184 EX_ura_e|Extracellular exchange_reverse::[] --> ura_e
185 EX_urate_e|Extracellular exchange::urate_e --> []
186 EX_urate_e|Extracellular exchange_reverse::[] --> urate_e
187 EX_urea_e|Extracellular exchange::urea_e --> []
188 EX_urea_e|Extracellular exchange_reverse::[] --> urea_e
189 EX_uri_e|Extracellular exchange::uri_e --> []
190 EX_uri_e|Extracellular exchange_reverse::[] --> uri_e
191 EX_val_L_e|Extracellular exchange::val_L_e --> []
192 EX_val_L_e|Extracellular exchange_reverse::[] --> val_L_e
193 sink_12harachd_c|Intracellular Constraint::12harachd_c --> []
194 sink_12harachd_c|Intracellular Constraint_reverse::[] --> 12harachd_c
195 sink_15HPET_c|Intracellular Constraint::15HPET_c --> []
196 sink_15HPET_c|Intracellular Constraint_reverse::[] --> 15HPET_c
197 sink_4mop|Intracellular Constraint::4mop_c --> []
198 sink_4mop|Intracellular Constraint_reverse::[] --> 4mop_c
199 sink_5moxact_c|Intracellular Constraint::5moxact_c --> []
200 sink_5moxact_c|Intracellular Constraint_reverse::[] --> 5moxact_c
201 EX_ca2_c_ca2_e|Intracellular Constraint::ca2_c --> ca2_e
202 EX_ca2_c_ca2_e|Intracellular Constraint_reverse::ca2_e --> ca2_c
203 sink_homoval_c|Intracellular Constraint::homoval_c --> []
204 sink_homoval_c|Intracellular Constraint_reverse::[] --> homoval_c
205 sink_ind3ac_c|Intracellular Constraint::ind3ac_c --> []
206 sink_ind3ac_c|Intracellular Constraint_reverse::[] --> ind3ac_c
207 sink_mal_c|Intracellular Constraint::mal_L_c --> []
208 sink_mal_c|Intracellular Constraint_reverse::[] --> mal_L_c
209 sink_na1|Intracellular Constraint::na1_c --> []
210 sink_na1|Intracellular Constraint_reverse::[] --> na1_c
211 sink_txb_c|Intracellular Constraint::txb2_c --> []
212 sink_txb_c|Intracellular Constraint_reverse::[] --> txb2_c
213 10FTHF6GLUtm|Transport_ Mitochondrial::10fthf6glu_m --> 10fthf6glu_c
214 10FTHF7GLUtl|Transport_ Lysosomal::10fthf7glu_c --> 10fthf7glu_l
215 10FTHF7GLUtm|Transport_ Mitochondrial::10fthf7glu_m --> 10fthf7glu_c
216 10FTHFtl|Transport_ Lysosomal::10fthf_c --> 10fthf_l
217 10FTHFtl|Transport_ Lysosomal_reverse::10fthf_l --> 10fthf_c
218 2AMADPTm|Lysine Metabolism::L2aadp_c+akg_m --> L2aadp_m+akg_c
219 2AMADPTm|Lysine Metabolism_reverse::L2aadp_m+akg_c --> L2aadp_c+akg_m
220 2DR1PP|Pyrimidine Catabolism::h2o_c+2dr1p_c --> drib_c+pi_c
221 2OXOADOXm|Lysine Metabolism::coa_m+nad_m+2oxoadp_m --> nadh_m+co2_m+glutcoa_m
222 2OXOADPTm|Tryptophan metabolism::akg_m+2oxoadp_c --> akg_c+2oxoadp_m
223 2OXOADPTm|Tryptophan metabolism_reverse::akg_c+2oxoadp_m --> akg_m+2oxoadp_c
224 34DHPHAMT|Tyrosine metabolism::amet_c+34dhpha_c --> homoval_c+h_c+ahcys_c
225 34DHPLACOX|Tyrosine metabolism::h2o_c+nad_c+34dhpac_c --> nadh_c+34dhpha_c+2.0*h_c
226 34HPPOR|Tyrosine metabolism::34hpp_c+o2_c --> hgentis_c+co2_c
227 3HBCOAHLm|Valine_ Leucine_ and Isoleucine Metabolism::h2o_m+3hibutcoa_m --> coa_m+3hmp_m+h_m
228 3HLYTCL|Tyrosine metabolism::34dhphe_c+h_c --> dopa_c+co2_c
229 3M4HDXPAC|Tyrosine metabolism::3mox4hpac_c+h2o_c+nad_c --> homoval_c+nadh_c+2.0*h_c
230 3M4HDXPAC|Tyrosine metabolism_reverse::homoval_c+nadh_c+2.0*h_c --> 3mox4hpac_c+h2o_c+nad_c
231 3MOBt2im|Transport_ Mitochondrial::3mob_c+h_c --> 3mob_m+h_m
232 3MOPt2im|Transport_ Mitochondrial::3mop_c+h_c --> h_m+3mop_m
233 3MOXTYROX|Tyrosine metabolism::o2_c+h2o_c+3moxtyr_c --> 3mox4hpac_c+h2o2_c+nh4_c
234 42A12BOOX|Tyrosine metabolism::o2_c+h2o_c+dopa_c --> h2o2_c+nh4_c+34dhpac_c
235 4ABUTtm|Transport_ Mitochondrial::4abut_c --> 4abut_m
236 4ABUTtm|Transport_ Mitochondrial_reverse::4abut_m --> 4abut_c
237 4HOXPACDOX_NADP|Tyrosine metabolism::h2o_c+nadp_c+4hoxpacd_c --> 4hphac_c+2.0*h_c+nadph_c
238 4HOXPACDOX_NADP|Tyrosine metabolism_reverse::4hphac_c+2.0*h_c+nadph_c --> h2o_c+nadp_c+4hoxpacd_c
239 4MOPt2im|Transport_ Mitochondrial::4mop_c+h_c --> 4mop_m+h_m
240 4NPHSFte|Transport_ Extracellular::4nphsf_e --> 4nphsf_c
241 4NPHSFte|Transport_ Extracellular_reverse::4nphsf_c --> 4nphsf_e
242 4NPHSULT|CYP Metabolism::paps_c+4nph_c --> pap_c+4nphsf_c+h_c
243 4NPHte|Transport_ Extracellular::4nph_e --> 4nph_c
244 4NPHte|Transport_ Extracellular_reverse::4nph_c --> 4nph_e
245 5AOPtm|Heme Biosynthesis::5aop_c --> 5aop_m
246 5AOPtm|Heme Biosynthesis_reverse::5aop_m --> 5aop_c
247 5HLTDL|Tryptophan metabolism::5htrp_c+h_c --> srtn_c+co2_c
248 5HOXINDACTOX|Tryptophan metabolism::5hoxindact_c+h2o_c+nad_c --> nadh_c+2.0*h_c+5hoxindoa_c
249 5HOXINOXDA|Tryptophan metabolism::o2_c+h2o_c+srtn_c --> 5hoxindact_c+h2o2_c+nh4_c
250 5MTHFt|Transport_ Extracellular::5mthf_e --> 5mthf_c
251 5MTHFt|Transport_ Extracellular_reverse::5mthf_c --> 5mthf_e
252 5MTHFt2|Transport_ Extracellular::oh1_c+5mthf_e --> oh1_e+5mthf_c
253 5MTHFt2|Transport_ Extracellular_reverse::oh1_e+5mthf_c --> oh1_c+5mthf_e
254 AACOAT|Propanoate Metabolism::coa_c+atp_c+acac_c --> ppi_c+amp_c+aacoa_c
255 AACOAT|Propanoate Metabolism_reverse::ppi_c+amp_c+aacoa_c --> coa_c+atp_c+acac_c
256 AASAD3m|Lysine Metabolism::L2aadp6sa_m+h2o_m+nad_m --> L2aadp_m+nadh_m+2.0*h_m
257 AATAi|Lysine Metabolism::L2aadp_c+akg_c --> glu_L_c+2oxoadp_c
258 ABTArm|Glutamate metabolism::4abut_m+akg_m --> glu_L_m+sucsal_m
259 ABTArm|Glutamate metabolism_reverse::glu_L_m+sucsal_m --> 4abut_m+akg_m
260 ACACT1|Cholesterol Metabolism::2.0*accoa_c --> coa_c+aacoa_c
261 ACACT1|Cholesterol Metabolism_reverse::coa_c+aacoa_c --> 2.0*accoa_c
262 ACACT10m|Valine_ Leucine_ and Isoleucine Metabolism::coa_m+2maacoa_m --> accoa_m+ppcoa_m
263 ACACT10m|Valine_ Leucine_ and Isoleucine Metabolism_reverse::accoa_m+ppcoa_m --> coa_m+2maacoa_m
264 ACACT1r|Tryptophan metabolism::2.0*accoa_c --> coa_c+aacoa_c
265 ACACT1r|Tryptophan metabolism_reverse::coa_c+aacoa_c --> 2.0*accoa_c
266 ACACT1rm|Tryptophan metabolism::2.0*accoa_m --> coa_m+aacoa_m
267 ACACT1rm|Tryptophan metabolism_reverse::coa_m+aacoa_m --> 2.0*accoa_m
268 ACCOAC|Fatty Acid Metabolism::atp_c+accoa_c+hco3_c --> malcoa_c+pi_c+h_c+adp_c
269 ACITL|Citric Acid Cycle::coa_c+atp_c+cit_c --> oaa_c+pi_c+accoa_c+adp_c
270 ACOAD10m|Valine_ Leucine_ and Isoleucine Metabolism::fad_m+2mbcoa_m --> 2mb2coa_m+fadh2_m
271 ACOAD8m|Valine_ Leucine_ and Isoleucine Metabolism::fad_m+ivcoa_m --> fadh2_m+3mb2coa_m
272 ACOAD9m|Valine_ Leucine_ and Isoleucine Metabolism::fad_m+ibcoa_m --> fadh2_m+2mp2coa_m
273 ACONT|Citric Acid Cycle::cit_c --> icit_c
274 ACONT|Citric Acid Cycle_reverse::icit_c --> cit_c
275 ACONTm|Citric Acid Cycle::cit_m --> icit_m
276 ACONTm|Citric Acid Cycle_reverse::icit_m --> cit_m
277 ACS|Glycolysis/Gluconeogenesis::ac_c+coa_c+atp_c --> ppi_c+accoa_c+amp_c
278 ACSOMT|Tryptophan metabolism::amet_c+5hoxindoa_c --> 5moxact_c+h_c+ahcys_c
279 ACt2r|Transport_ Extracellular::ac_e+h_e --> ac_c+h_c
280 ACt2r|Transport_ Extracellular_reverse::ac_c+h_c --> ac_e+h_e
281 ADA|Purine Catabolism::adn_c+h2o_c+h_c --> ins_c+nh4_c
282 ADAe|Nucleotides::h2o_e+adn_e+h_e --> ins_e+nh4_e
283 ADEt|Transport_ Extracellular::ade_e --> ade_c
284 ADEt|Transport_ Extracellular_reverse::ade_c --> ade_e
285 ADK1|Nucleotides::atp_c+amp_c --> 2.0*adp_c
286 ADK1|Nucleotides_reverse::2.0*adp_c --> atp_c+amp_c
287 ADK1m|Nucleotides::atp_m+amp_m --> 2.0*adp_m
288 ADK1m|Nucleotides_reverse::2.0*adp_m --> atp_m+amp_m
289 ADK3m|Nucleotides::gtp_m+amp_m --> gdp_m+adp_m
290 ADK3m|Nucleotides_reverse::gdp_m+adp_m --> gtp_m+amp_m
291 ADNCYC|Nucleotides::atp_c --> camp_c+ppi_c
292 ADNK1|Nucleotides::adn_c+atp_c --> h_c+adp_c+amp_c
293 ADNt|Transport_ Extracellular::adn_e --> adn_c
294 ADNt|Transport_ Extracellular_reverse::adn_c --> adn_e
295 ADPRDP|Nucleotides::adprib_c+h2o_c --> 2.0*h_c+amp_c+r5p_c
296 ADPT|Salvage Pathway::prpp_c+ade_c --> ppi_c+amp_c
297 ADRNLPVESSEC|Transport_ Extracellular::2.0*h2o_c+2.0*atp_c+3.0*adrnl_c --> 3.0*adrnl_e+2.0*pi_c+2.0*h_c+2.0*adp_c
298 ADSK|Nucleotides::atp_c+aps_c --> paps_c+h_c+adp_c
299 ADSL1|Nucleotides::dcamp_c --> amp_c+fum_c
300 ADSL2|IMP Biosynthesis::25aics_c --> fum_c+aicar_c
301 ADSS|Nucleotides::gtp_c+imp_c+asp_L_c --> gdp_c+pi_c+2.0*h_c+dcamp_c
302 AHC|Methionine Metabolism::h2o_c+ahcys_c --> adn_c+hcys_L_c
303 AHC|Methionine Metabolism_reverse::adn_c+hcys_L_c --> h2o_c+ahcys_c
304 AICART|IMP Biosynthesis::10fthf_c+aicar_c --> thf_c+fprica_c
305 AICART|IMP Biosynthesis_reverse::thf_c+fprica_c --> 10fthf_c+aicar_c
306 AIRCr|IMP Biosynthesis::co2_c+air_c --> 5aizc_c+h_c
307 AIRCr|IMP Biosynthesis_reverse::5aizc_c+h_c --> co2_c+air_c
308 AKGDm|Citric Acid Cycle::coa_m+nad_m+akg_m --> nadh_m+succoa_m+co2_m
309 ALAGLNexR|Transport_ Extracellular::gln_L_c+ala_L_e --> gln_L_e+ala_L_c
310 ALAGLNexR|Transport_ Extracellular_reverse::gln_L_e+ala_L_c --> gln_L_c+ala_L_e
311 ALASm|Glycine_ Serine_ and Threonine Metabolism::gly_m+succoa_m+h_m --> coa_m+5aop_m+co2_m
312 ALATA_L|Glutamate metabolism::ala_L_c+akg_c --> pyr_c+glu_L_c
313 ALATA_L|Glutamate metabolism_reverse::pyr_c+glu_L_c --> ala_L_c+akg_c
314 ALCD1|Miscellaneous::nad_c+meoh_c --> fald_c+nadh_c+h_c
315 ALCD1|Miscellaneous_reverse::fald_c+nadh_c+h_c --> nad_c+meoh_c
316 ALCD21_D|Pyruvate Metabolism::nad_c+12ppd_R_c --> lald_D_c+nadh_c+h_c
317 ALCD21_D|Pyruvate Metabolism_reverse::lald_D_c+nadh_c+h_c --> nad_c+12ppd_R_c
318 ALCD21_L|Pyruvate Metabolism::12ppd_S_c+nad_c --> lald_L_c+nadh_c+h_c
319 ALDD19x|Phenylalanine metabolism::h2o_c+nad_c+pacald_c --> pac_c+nadh_c+2.0*h_c
320 ALDD19x_P|Phenylalanine metabolism::h2o_c+nadp_c+pacald_c --> pac_c+2.0*h_c+nadph_c
321 ALDD20x|Tryptophan metabolism::h2o_c+nad_c+id3acald_c --> ind3ac_c+nadh_c+2.0*h_c
322 ALDD2x|Glycolysis/Gluconeogenesis::h2o_c+acald_c+nad_c --> ac_c+nadh_c+2.0*h_c
323 ALDD2y|Glycolysis/Gluconeogenesis::h2o_c+nadp_c+acald_c --> ac_c+2.0*h_c+nadph_c
324 ALOX12|Eicosanoid Metabolism::o2_c+arachd_c --> 12HPET_c
325 ALOX15|Eicosanoid Metabolism::o2_c+arachd_c --> 15HPET_c
326 ALOX5|Eicosanoid Metabolism::o2_c+arachd_c --> 5HPET_c
327 ALOX52|Eicosanoid Metabolism::5HPET_c --> h2o_c+leuktrA4_c
328 ALR|Glycine_ Serine_ and Threonine Metabolism::h2o_c+nadp_c+mthgxl_c --> pyr_c+2.0*h_c+nadph_c
329 ALR2|Pyruvate Metabolism::h_c+mthgxl_c+nadph_c --> nadp_c+acetol_c
330 ALR3|Pyruvate Metabolism::acetol_c+h_c+nadph_c --> 12ppd_S_c+nadp_c
331 AMPDA|Nucleotides::h2o_c+h_c+amp_c --> nh4_c+imp_c
332 AMPTASECGe|Glutathione Metabolism::h2o_e+cgly_e --> cys_L_e+gly_e
333 APAT2rm|beta-Alanine metabolism::ala_B_m+akg_m --> glu_L_m+msa_m
334 APAT2rm|beta-Alanine metabolism_reverse::glu_L_m+msa_m --> ala_B_m+akg_m
335 ARACHDt2|Transport_ Extracellular::arachd_e --> arachd_c
336 ARACHDt2|Transport_ Extracellular_reverse::arachd_c --> arachd_e
337 ARACHDtr|Transport_ Endoplasmic Reticular::arachd_c --> arachd_r
338 ARACHDtr|Transport_ Endoplasmic Reticular_reverse::arachd_r --> arachd_c
339 ARGN|Urea cycle/amino group metabolism::h2o_c+arg_L_c --> urea_c+orn_c
340 ARGSL|Alanine and Aspartate Metabolism::argsuc_c --> fum_c+arg_L_c
341 ARGSL|Alanine and Aspartate Metabolism_reverse::fum_c+arg_L_c --> argsuc_c
342 ARGSS|Alanine and Aspartate Metabolism::atp_c+citr_L_c+asp_L_c --> ppi_c+h_c+amp_c+argsuc_c
343 ARGtiDF|Transport_ Extracellular::arg_L_e --> arg_L_c
344 ARGtiDF|Transport_ Extracellular_reverse::arg_L_c --> arg_L_e
345 ASCBt|Transport_ Extracellular::ascb_L_e --> ascb_L_c
346 ASCBt|Transport_ Extracellular_reverse::ascb_L_c --> ascb_L_e
347 ASCBt4|Transport_ Extracellular::na1_e+ascb_L_e --> na1_c+ascb_L_c
348 ASCBt4|Transport_ Extracellular_reverse::na1_c+ascb_L_c --> na1_e+ascb_L_e
349 ASNALANaEx|Transport_ Extracellular::na1_e+ala_L_c+asn_L_e --> na1_c+asn_L_c+ala_L_e
350 ASNNm|Alanine and Aspartate Metabolism::asn_L_m+h2o_m --> nh4_m+asp_L_m
351 ASNSERNaEx|Transport_ Extracellular::na1_e+ser_L_c+asn_L_e --> na1_c+asn_L_c+ser_L_e
352 ASNtm|Transport_ Mitochondrial::asn_L_c --> asn_L_m
353 ASPTA|Alanine and Aspartate Metabolism::asp_L_c+akg_c --> oaa_c+glu_L_c
354 ASPTA|Alanine and Aspartate Metabolism_reverse::oaa_c+glu_L_c --> asp_L_c+akg_c
355 ASPTAm|Alanine and Aspartate Metabolism::asp_L_m+akg_m --> glu_L_m+oaa_m
356 ASPTAm|Alanine and Aspartate Metabolism_reverse::glu_L_m+oaa_m --> asp_L_m+akg_m
357 ASPt6|Transport_ Extracellular::3.0*na1_e+h_e+asp_L_e+k_c --> 3.0*na1_c+h_c+asp_L_c+k_e
358 ASPt6|Transport_ Extracellular_reverse::3.0*na1_c+h_c+asp_L_c+k_e --> 3.0*na1_e+h_e+asp_L_e+k_c
359 ATPH2e|Nucleotides::h2o_e+adp_e --> pi_e+h_e+amp_e
